# Eva 完整型號索引（按需查詢用，Eva 收到型號詢問時才查，不塞進每則 prompt）
# 更新日期：2026-06-29
# 格式：品牌 | 型號

ALSON | AT-S1000-01A-S1
ALSON | AT-S1000-01A-S2
ALSON | AT-S1000-02A-W
ALSON | AT-S1000-04A-S1
ALSON | AT-S1000-04A-S2
ALSON | AT-S1000-04A-ET
ALSON | AT-S1000-02B
ALSON | AT-S1000-03B
ALSON | AT-S1000-01C-H
ALSON | AT-S1000-01C-H-L
ALSON | AT-S1000-06C-S
ALSON | AT-S1000-06C-S1
ALSON | AT-S1000-06C-S2
ALSON | AT-S1000-07C
ALSON | AT-S1000-07C-S1
ALSON | AT-S1000-01D
ALSON | AT-S1000-01S
ARTRAY | ARTCAM-022MINI/-BW
ARTRAY | ARTCAM-407UV-WOM
ARTRAY | ARTCAM-500MI-WOM
ARTRAY | ARTCAM-2020UV-CL
ARTRAY | ARTCAM-2020UV-USB3
ARTRAY | ARTCAM-130UV-WOM
ARTRAY | ARTCAM-990SWIR
ARTRAY | ARTCAM-992SWIR-TEC
ARTRAY | UV2528B
ARTRAY | UV2528B
ARTRAY | UV5035B
VS | VS-MC0103
VS | VS-MC024
VS | VS-MC024S
VS | VS-MC0510
VS | VS-MC0510S
VS | VS-MC0510-1
VS | VS-MC0510-2
VS | VS-MC0510-3
VS | VS-MC0510-4
VS | VS-MC0510-5
VS | VS-MC0510-6
VS | VS-MC0510-7
VS | VS-MC0510-8
VS | VS-MC0510-9
VS | VS-MC0103-M155
VS | VS-MC0410-M155
VS | VS-MC0103-S105
VS | VS-MC0410-S105
VS | VS-MC01-330
VS | VS-MC01-330
VS | VS-MC03-180
VS | VS-MC03-180
VS | VS-MC05-CMT
VS | VS-MC05-130
VS | VS-MC05-130
VS | VS-MC05-65
VS | VS-MC05-65
VS | VS-MC05-65
VS | VS-MC05-90
VS | VS-MC05-90
VS | VS-MC05-90
VS | VS-MC075-CMT
VS | VS-MC075-100
VS | VS-MC075-100
VS | VS-MC075-100
VS | VS-MC075-100
VS | VS-MC075-100
VS | VS-MC075-50
VS | VS-MC075-50
VS | VS-MC075-70
VS | VS-MC075-70
VS | VS-MC1-CMT
VS | VS-MC1-40
VS | VS-MC1-40
VS | VS-MC1-60
VS | VS-MC1-60
VS | VS-MC1-80
VS | VS-MC1-80
VS | VS-MC1.5-65
VS | VS-MC05-M155
VS | VS-MC075-M155
VS | VS-MC1-M155
VS | VS-MC03S
VS | VS-MC03-100
VS | VS-MC03-100
VS | VS-MC03-135
VS | VS-MC03-135
VS | VS-MC03-150
VS | VS-MC03-150
VS | VS-MC08-50
VS | VS-MC1-70
VS | VS-MC2-60
VS | VS-MC2-60
VS | VS-MC2-60
VS | VS-MC1.3-40/7.5
VS | VS-MC1.3-40CO/7.5
VS | VS-MCL
VS | VS-MC00303S-UV
VS | VS-MC01303IR
VS | VS-MC0510S-UV
VS | VS-MC2-65UV365
VS | VS-MC3-65UV365
VS | VS-MC0510IR
VS | VS-MC50-FN05.6
VS | VS-MC0576N
VS | VS-MC1375-40N
VS | STC-MC36USB-LT
VS | VS-MC4
VS | VS-MC4
VS | VS-MC4
VS | VS-MC6.5
VS | VS-MC6.5
VS | VS-MC6.5
VS | VS-MC10
VS | VS-MC10
VS | VS-MC10
VS | VS-MC15
VS | VS-MC15
VS | VS-MC20
VS | VS-MC20
VS | VS-MC25
VS | VS-MC25N
VS | VS-MC30
VS | VS-MC30
VS | VS-MC35
VS | VS-MC35
VS | VS-MC50
VS | VS-MC50
VS | VS-MC75
VS | VS-MC75
VS | VS-LD4
VS | VS-LD4
VS | VS-LD6.5
VS | VS-LD6.5
VS | VS-LD6.5
VS | VS-LD10
VS | VS-LD10
VS | VS-LD10
VS | VS-LD10
VS | VS-LD10
VS | VS-LD10
VS | VS-LD10
VS | VS-LD15
VS | VS-LD15
VS | VS-LD15
VS | VS-LD15
VS | VS-LD20
VS | VS-LD20
VS | VS-LD20
VS | VS-LD25
VS | VS-LD25
VS | VS-LD25
VS | VS-LD25
VS | VS-LD25N
VS | VS-LD30
VS | VS-LD30
VS | VS-LD35
VS | VS-LD35
VS | VS-LD50
VS | VS-LD50
VS | VS-LD50
VS | VS-LD75
VS | VS-LD75
VS | VS-LD75
VS | VS-LD75
VS | SV-0514MP
VS | SV-0814MP
VS | SV-1214MP
VS | SV-1614MP
VS | SV-2514MP
VS | SV-3514MP
VS | SV-5018MP
VS | SV-7528MP
VS | SV-7528MP
VS | SV-7528MP
VS | AT3514-5M
VS | SV-M0614
VS | SV-M1614
VS | SV-M2514
VS | SV-M2514  (40PCS)
VS | SV-M3520
VS | SV-M5028
VS | SV-M0614T
VS | SV-M1614T
VS | SV-M2514T
VS | SV-M3520T
VS | SV-M5028T
VS | SV-03514
VS | SV-04514
VS | SV-0614
VS | SV-0813
VS | SV-1214
VS | SV-1614
VS | SV-2514
VS | SV-3519
VS | SV-5018
VS | SV-7527
VS | SV-10035
VS | SV-F0614
VS | SV-F0814
VS | SV-F1214
VS | SV-F1614
VS | SV-F2516
VS | SV-F3516
VS | SV-F5020
VS | SV-F5020
VS | SV-F7525
VS | SV-F10028
VS | SV-F10028
VS | SV-0614H
VS | SV-0814H
VS | SV-1214HF
VS | SV-1214H
VS | SV-1214H
VS | SV-1214H
VS | SV-1214H
VS | SV-1614HF
VS | SV-1614H
VS | SV-1614H
VS | SV-1614H
VS | SV-2514H
VS | SV-2514H
VS | SV-2514H
VS | SV-2514H
VS | SV-3518H
VS | SV-3514H
VS | SV-3514H
VS | SV-3514H
VS | SV-3514H
VS | SV-5014H
VS | SV-5014H
VS | SV-5014H
VS | SV-5026H
VS | SV-5026H
VS | SV-5026H
VS | SV-5026H
VS | SV-5026H
VS | SV-5026H
VS | SV-7525H
VS | SV-7525H
VS | SV-7525H
VS | SV-7525H
VS | SV-10028H
VS | VS-0618H1
VS | VS-0618H1
VS | VS-0814H1
VS | VS-0814H1
VS | VS-1214H1
VS | VS-1614H1N
VS | VS-2514H1
VS | VS-3514H1
VS | VS-5018H1
VS | VS-1628H10M
VS | SV-0614V
VS | SV-0813V
VS | SV-1214V
VS | SV-1614V
VS | SV-2514V
VS | SV-3518V
VS | SV-5018V
VS | SV-7527V
VS | SV-10035V
VS | SV-03514V
VS | SV-03514V
VS | SV-03514V
VS | SV-04514V
VS | SV-04514V
VS | SV-04514V
VS | SV-3518V
VS | SV-3518V
VS | SV-0614V
VS | SV-0813V
VS | SV-1214V
VS | SV-1614V
VS | SV-2514V
VS | SV-3518V
VS | SV-5018V
VS | SV-7527V
VS | SV-10035V
VS | VS-0614V-IR
VS | VS-0813V-IR
VS | VS-1214V-IR
VS | VS-1614V-IR
VS | VS-2514V-IR
VS | VS-3518V-IR
VS | VS-5018V-IR
VS | SV-17095
VS | SV-17095
VS | SV-25095
VS | SV-25095
VS | SV-50095
VS | SV-50095
VS | VS-50085/M42
VS | VS-50085/C
VS | SV-L2514
VS | SV-L5013
VS | SV-L5018
VS | SV-L7518
VS | SV-L0814MP
VS | SV-L12514MP
VS | SV-L1614MP
VS | SV-L2514MP
VS | SV-L3514MP
VS | SV-L5014MP
VS | SV-L7518MP
VS | SV-EGG-BOX-LT
VS | SV-EGG-BOX1
VS | SV-EGG-BOXsuper
VS | SV-EGG-BOXsuperⅡ
VS | SV-EGG-BOX　Hi.
VS | SV-EGG-BOX　Hi.Ⅱ
VS | SV-EGG-BOX-LD1
VS | SV-EGG-BOX-LD1
VS | SV-EGG-BOX-LD2
VS | SV-EGG-BOX-LD2
VS | SV-EGG-BOX-MP1
VS | SV-EGG-BOX-H1
VS | SV-EGG-BOX-H2
VS | SV-EGG-BOX-V1
VS | SV-EGG-BOX-V2
VS | SV-PH085
VS | SV-PH04
VS | SV-PH038
VS | SV-1.5X
VS | SV-1.5X
VS | SV-1.5X
VS | SV-2.0X
VS | SV-2.0X
VS | SV-2.0X
VS | SV-2.5X
VS | SV-2.5XV
VS | SV-2.5X
VS | SV-2.5X
VS | SV-2.5X
VS | SV-3.0X
VS | SV-3.0XV
VS | SV-3.0XV
VS | SV-4.0XV
VS | SV-4.0XV
VS | SV-4.0XV
VS | SV-5.0X
VS | SV-5.0XV
VS | SV-1.5XNB
VS | SV-2.0XNB
VS | SV-EXR
VS | SV-EXR-5set
VS | SV-EXR-LT
VS | SV-EXR-F
VS | SV-EXR-F
VS | SV-EXR02
VS | SV-EXR05
VS | SV-EXR1
VS | SV-EXR2
VS | SV-EXR5
VS | SV-EXR5
VS | SV-EXR5
VS | SV-EXR10
VS | SV-EXR15
VS | SV-EXR20
VS | SV-EXR25
VS | SV-EXR30
VS | SV-EXR40
VS | SV-EXR50
VS | SV-EXR100
VS | SV-EXR1520
VS | SV-EXR3042
VS | SV-EXR3042
VS | SV-EXR-5SET
VS | EXT.05
VS | EXT.1
VS | EXT.2
VS | EXT.5
VS | EXT.10
VS | EXT.15
VS | EXT.20
VS | EXT.25
VS | EXT.30
VS | EXT.40
VS | VSZ-M07545
VS | VSZ-M07545CO
VS | VSZ-M07545CO-CL
VS | VSZ-0745CO
VS | VSZ-0745CO
VS | VSZ-0745CO
VS | VSZ-0530
VS | VSZ-0530
VS | VSZ-0530
VS | VSZ-0530
VS | VSZ-0530
VS | VSZ-0530CO
VS | VSZ-0530CO
VS | VSZ-10100
VS | VSZ-10100CO
VS | VSZ-10100CO
VS | JWZ-0530CO
VS | JWZ-0530CO
VS | JWZ-0530CO
VS | JWZ-0530CO
VS | JWZ-0530CO
VS | JWZ-0530CO
VS | JWZ-0429
VS | VSZ-MKD1
VS | JMZ-0429-120
VS | VSZ-03X
VS | VSZ-03X
VS | VSZ-03X
VS | VSZ-04X
VS | VSZ-04X
VS | VSZ-04X
VS | VSZ-05X
VS | VSZ-05X
VS | VSZ-05X
VS | VSZ-05X
VS | VSZ-07X
VS | VSZ-07X
VS | VSZ-07X
VS | VSZ-07X
VS | VSZ-M03X
VS | VSZ-M05X
VS | VSZ-M07X
VS | VSZ-M14X
VS | VSZ-M20X
VS | VSZ-M0108S
VS | VSZ-M0108S
VS | VSZ-M0108S
VS | VSZ-M0108S
VS | VSZ-M0108S
VS | VSZ-M0108S
